Fragment,Count,Time (ms),Size (bytes)
Canonical.summary,6,3,4494
Canonical.summary-table,6,3,4494
Cross.canonical-index,5,0,6925
Cross.codesystem-list,5,0,645
Cross.codesystem-ref-all-list,5,1,12165
Cross.codesystem-ref-list,5,0,3625
Cross.cross-version-analysis,5,0,1600
Cross.cross-version-analysis-inline,5,0,1555
Cross.deleted-extensions,5,57,60
Cross.dependency-table,5,0,115785
Cross.dependency-table-nontech,5,0,17880
Cross.dependency-table-short,5,0,109580
Cross.deprecated-list,5,54,140
Cross.extension-list,5,1,5275
Cross.extension-list-,1035,176,1667170
Cross.extension-search-list,755,0,14345
Cross.globals-table,5,0,320
Cross.ip-statements,5,6,394
Cross.list-accounts,5,1,0
Cross.list-accounts-json,5,1,0
Cross.list-accounts-xml,5,1,0
Cross.list-activitydefinitions,5,0,0
Cross.list-activitydefinitions-json,5,0,0
Cross.list-activitydefinitions-xml,5,1,0
Cross.list-actordefinitions,5,0,0
Cross.list-actordefinitions-json,5,1,0
Cross.list-actordefinitions-xml,5,3,0
Cross.list-adverseevents,5,2,0
Cross.list-adverseevents-json,5,2,0
Cross.list-adverseevents-xml,5,4,0
Cross.list-allergyintolerances,5,0,0
Cross.list-allergyintolerances-json,5,1,0
Cross.list-allergyintolerances-xml,5,2,0
Cross.list-appointmentresponses,5,0,0
Cross.list-appointmentresponses-json,5,0,0
Cross.list-appointmentresponses-xml,5,1,0
Cross.list-appointments,5,1,0
Cross.list-appointments-json,5,4,0
Cross.list-appointments-xml,5,4,0
Cross.list-auditevents,5,0,0
Cross.list-auditevents-json,5,0,0
Cross.list-auditevents-xml,5,0,0
Cross.list-basics,5,0,0
Cross.list-basics-json,5,0,0
Cross.list-basics-xml,5,0,0
Cross.list-binaries,5,0,0
Cross.list-binaries-json,5,1,0
Cross.list-binaries-xml,5,1,0
Cross.list-biologicallyderivedproducts,5,0,0
Cross.list-biologicallyderivedproducts-json,5,3,0
Cross.list-biologicallyderivedproducts-xml,5,4,0
Cross.list-bodystructures,5,0,0
Cross.list-bodystructures-json,5,2,0
Cross.list-bodystructures-xml,5,3,0
Cross.list-bundles,5,1,0
Cross.list-bundles-json,5,1,0
Cross.list-bundles-xml,5,1,0
Cross.list-byid-accounts,5,0,0
Cross.list-byid-accounts-json,5,5,0
Cross.list-byid-accounts-xml,5,5,0
Cross.list-byid-activitydefinitions,5,1,0
Cross.list-byid-activitydefinitions-json,5,2,0
Cross.list-byid-activitydefinitions-xml,5,3,0
Cross.list-byid-actordefinitions,5,0,0
Cross.list-byid-actordefinitions-json,5,0,0
Cross.list-byid-actordefinitions-xml,5,2,0
Cross.list-byid-adverseevents,5,1,0
Cross.list-byid-adverseevents-json,5,1,0
Cross.list-byid-adverseevents-xml,5,3,0
Cross.list-byid-allergyintolerances,5,0,0
Cross.list-byid-allergyintolerances-json,5,0,0
Cross.list-byid-allergyintolerances-xml,5,1,0
Cross.list-byid-appointmentresponses,5,0,0
Cross.list-byid-appointmentresponses-json,5,1,0
Cross.list-byid-appointmentresponses-xml,5,1,0
Cross.list-byid-appointments,5,0,0
Cross.list-byid-appointments-json,5,0,0
Cross.list-byid-appointments-xml,5,1,0
Cross.list-byid-auditevents,5,1,0
Cross.list-byid-auditevents-json,5,3,0
Cross.list-byid-auditevents-xml,5,3,0
Cross.list-byid-basics,5,0,0
Cross.list-byid-basics-json,5,2,0
Cross.list-byid-basics-xml,5,2,0
Cross.list-byid-binaries,5,0,0
Cross.list-byid-binaries-json,5,1,0
Cross.list-byid-binaries-xml,5,2,0
Cross.list-byid-biologicallyderivedproducts,5,0,0
Cross.list-byid-biologicallyderivedproducts-json,5,0,0
Cross.list-byid-biologicallyderivedproducts-xml,5,2,0
Cross.list-byid-bodystructures,5,0,0
Cross.list-byid-bodystructures-json,5,1,0
Cross.list-byid-bodystructures-xml,5,3,0
Cross.list-byid-bundles,5,0,0
Cross.list-byid-bundles-json,5,3,0
Cross.list-byid-bundles-xml,5,4,0
Cross.list-byid-capabilitystatements,5,0,0
Cross.list-byid-capabilitystatements-json,5,0,0
Cross.list-byid-capabilitystatements-xml,5,2,0
Cross.list-byid-careplans,5,1,0
Cross.list-byid-careplans-json,5,1,0
Cross.list-byid-careplans-xml,5,4,0
Cross.list-byid-careteams,5,0,0
Cross.list-byid-careteams-json,5,2,0
Cross.list-byid-careteams-xml,5,3,0
Cross.list-byid-catalogentries,5,0,0
Cross.list-byid-catalogentries-json,5,1,0
Cross.list-byid-catalogentries-xml,5,1,0
Cross.list-byid-chargeitemdefinitions,5,0,0
Cross.list-byid-chargeitemdefinitions-json,5,0,0
Cross.list-byid-chargeitemdefinitions-xml,5,0,0
Cross.list-byid-chargeitems,5,1,0
Cross.list-byid-chargeitems-json,5,2,0
Cross.list-byid-chargeitems-xml,5,3,0
